top - 09:14:36 up 1 day,  6:54,  2 users,  load average: 1,06, 0,28, 0,1
Tasks: 161 total,   3 running, 155 sleeping,   3 stopped,   0 zombie
%Cpu(s):  0,5 us,  0,1 sy,  0,0 ni, 99,0 id,  0,4 wa,  0,0 hi,  0,1 si, 
KiB Mem :  1016120 total,    96116 free,   473172 used,   446832 buff/ca
KiB Swap:  2095100 total,  2092080 free,     3020 used.   346256 avail M

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+
 1229 lightdm   20   0   45212   4932   4076 S   0,0  0,5   0:00.07
 1231 lightdm   20   0   63212   1604      0 S   0,0  0,2   0:00.00
 1238 lightdm   20   0    4508    856    776 S   0,0  0,1   0:00.00
 1243 lightdm   20   0   43120   3604   2968 S   0,0  0,4   0:00.60
 1244 lightdm   20   0  959588  97880  52144 S   0,0  9,6   0:11.45
 1246 lightdm   20   0  353656   8032   7248 S   0,0  0,8   0:00.00
 1250 lightdm   20   0  283020   6472   5828 S   0,0  0,6   0:00.01
 1255 lightdm   20   0  354424   7308   6516 S   0,0  0,7   0:00.01
 1261 lightdm   20   0   42768   3556   3224 S   0,0  0,3   0:00.00
 1269 lightdm   20   0  206972   6348   5700 S   0,0  0,6   0:00.01
 1276 lightdm   20   0  178532   4676   4220 S   0,0  0,5   0:00.07
 1281 root      20   0   82704   5124   4544 S   0,0  0,5   0:00.00
 1284 lightdm   20   0   54556   4620   3960 S   0,0  0,5   0:00.01
 1286 lightdm   20   0  672100  35084  28216 S   0,0  3,5   0:02.42
 1290 lightdm   20   0  995864  26920  21552 S   0,0  2,6   0:01.60
 1293 lightdm   20   0  368784   8976   8004 S   0,0  0,9   0:00.04
 1294 lightdm   20   0  357764   8104   7300 S   0,0  0,8   0:00.00
 1295 lightdm   20   0  801344  20684  14192 S   0,0  2,0   0:00.92
 1296 lightdm   20   0  481424  14324  12524 S   0,0  1,4   0:01.30
 1297 lightdm   20   0  640384  28824  23080 S   0,0  2,8   0:00.69
 1298 lightdm   20   0  684392  14368  10564 S   0,0  1,4   0:00.08
 1299 lightdm   20   0  579368  10776   7656 S   0,0  1,1   0:00.13
 1318 lightdm   20   0  395940  12632  11200 S   0,0  1,2   0:00.17
 1352 lightdm   20   0  424884  10892   8032 S   0,0  1,1   0:00.30
 1354 rtkit     21   1  183544   3000   2716 S   0,0  0,3   0:00.91
 1373 root      20   0  355860  12496   9040 S   0,0  1,2   0:01.85
 1385 colord    20   0  322136  13160  10272 S   0,0  1,3   0:00.27
 1400 ian       20   0   45212   4868   4016 S   0,0  0,5   0:00.06
 1402 ian       20   0  145140   1632      0 S   0,0  0,2   0:00.00
 2134 lightdm   20   0  484316  30228  25380 S   0,0  3,0   0:00.61
 6191 root      20   0   97528  44908   7724 S   0,0  4,4   0:00.76
 8116 root      20   0   97608  44772   7636 S   0,0  4,4   0:00.77
22320 root      20   0       0      0      0 S   0,0  0,0   0:10.20
30395 root      20   0       0      0      0 S   0,0  0,0   0:00.00
30555 root      20   0   97472   6936   5980 S   0,0  0,7   0:00.02
30602 ian       20   0   97472   4408   3432 S   0,0  0,4   0:03.68
30603 ian       20   0   32312   6800   3776 S   0,0  0,7   0:00.35
30662 root      20   0   97472   6984   6032 S   0,0  0,7   0:00.02
30710 ian       20   0   97472   4484   3532 S   0,0  0,4   0:01.66
30711 ian       20   0   31412   6004   3876 S   0,0  0,6   0:00.40
31838 ian       20   0   18268   2716   2492 T   0,0  0,3   0:00.00
31839 root      20   0   63392   4384   3908 T   0,0  0,4   0:00.00
31840 root      20   0   44500   5656   4884 T   0,0  0,6   0:00.00
32252 root      20   0   16120   3580   2728 S   0,0  0,4   0:02.81
32733 root      20   0       0      0      0 S   0,0  0,0   0:00.18

